gics4,score
1010,0.0421166
1510,-0.0099291
2010,-0.0562944
2020,-0.0078737
2030,-0.0181509
2510,0.0126206
2520,-0.0125356
2530,-0.1572014
2550,0.0011866
3010,-0.0227316
3020,-0.0505194
3030,-0.0134207
3510,-0.0268025
3520,-0.0230102
4010,0.0284206
4020,-0.0081474
4030,-0.0088429
4510,-0.0267382
4520,0.0067001
4530,-0.0653374
5010,-0.0085804
5020,-0.0024162
5510,0.0149103
6010,-0.0175562
